x,y,z
1,1,0
1,2,-9
1,3,-24
1,4,-45
1,5,-72
1,6,-105
1,7,-144
1,8,-189
1,9,-240
1,10,-297
2,1,6
2,2,-3
2,3,-18
2,4,-39
2,5,-66
2,6,-99
2,7,-138
2,8,-183
2,9,-234
2,10,-291
3,1,16
3,2,7
3,3,-8
3,4,-29
3,5,-56
3,6,-89
3,7,-128
3,8,-173
3,9,-224
3,10,-281
4,1,30
4,2,21
4,3,6
4,4,-15
4,5,-42
4,6,-75
4,7,-114
4,8,-159
4,9,-210
4,10,-267
5,1,48
5,2,39
5,3,24
5,4,3
5,5,-24
5,6,-57
5,7,-96
5,8,-141
5,9,-192
5,10,-249
6,1,70
6,2,61
6,3,46
6,4,25
6,5,-2
6,6,-35
6,7,-74
6,8,-119
6,9,-170
6,10,-227
7,1,96
7,2,87
7,3,72
7,4,51
7,5,24
7,6,-9
7,7,-48
7,8,-93
7,9,-144
7,10,-201
8,1,126
8,2,117
8,3,102
8,4,81
8,5,54
8,6,21
8,7,-18
8,8,-63
8,9,-114
8,10,-171
9,1,160
9,2,151
9,3,136
9,4,115
9,5,88
9,6,55
9,7,16
9,8,-29
9,9,-80
9,10,-137
10,1,198
10,2,189
10,3,174
10,4,153
10,5,126
10,6,93
10,7,54
10,8,9
10,9,-42
10,10,-99
